epoch,train/loss,train/loss_step,val/loss,val/tas/rmse,val/tas/time_mean_rmse,val/tas/time_std_mae,val/pr/rmse,val/pr/time_mean_rmse,val/pr/time_std_mae,train/loss_epoch,test/tas/rmse,test/tas/time_mean_rmse,test/tas/time_std_mae,test/pr/rmse,test/pr/time_mean_rmse,test/pr/time_std_mae
0,0.5521973371505737,0.5521973371505737,0.6110851764678955,,,,,,,,,,,,,
1,0.45073485374450684,0.45073485374450684,0.4516935646533966,9.060017585754395,5.617719650268555,4.292076110839844,3.3763842582702637,1.8594775199890137,1.5426735877990723,0.8164251446723938,,,,,,
2,0.3128131031990051,0.3128131031990051,0.3596688210964203,5.527585506439209,3.432274103164673,1.6556308269500732,3.1623780727386475,1.6385657787322998,1.5835787057876587,0.4835776388645172,,,,,,
3,0.278038889169693,0.278038889169693,0.2943536639213562,4.509439945220947,2.656320333480835,1.2382967472076416,2.8874642848968506,1.1572566032409668,1.4241377115249634,0.39775460958480835,,,,,,
4,0.23777896165847778,0.23777896165847778,0.26606783270835876,3.9685275554656982,2.2027177810668945,1.0362811088562012,2.6287360191345215,0.7908987402915955,1.2357648611068726,0.3232867121696472,,,,,,
5,0.20680437982082367,0.20680437982082367,0.22133700549602509,3.64943790435791,2.0493695735931396,1.0493401288986206,2.5052311420440674,0.7749600410461426,1.0904330015182495,0.2737129032611847,,,,,,
6,0.18733489513397217,0.18733489513397217,0.19378696382045746,3.362262725830078,1.907609462738037,0.867179811000824,2.281032085418701,0.6384155750274658,0.948420524597168,0.23463653028011322,,,,,,
7,0.19395722448825836,0.19395722448825836,0.1856057345867157,3.009239912033081,1.7625038623809814,0.7313250303268433,2.1368026733398438,0.502691388130188,0.8577013611793518,0.19739119708538055,,,,,,
8,0.16550764441490173,0.16550764441490173,0.18026255071163177,2.7164878845214844,1.5557191371917725,0.6745966076850891,2.104512929916382,0.5471886992454529,0.8351929783821106,0.1774062067270279,,,,,,
9,0.1511991322040558,0.1511991322040558,0.17384299635887146,2.5455424785614014,1.4735174179077148,0.6003910899162292,2.0796897411346436,0.5337772965431213,0.8032466769218445,0.166532963514328,,,,,,
test,,,,,,,,,,,290.9421081542969,290.8918762207031,3.972968816757202,4.592775344848633,4.025735855102539,1.5698884725570679
