epoch,train/loss,train/loss_step,val/loss,val/tas/rmse,val/tas/time_mean_rmse,val/tas/time_std_mae,val/pr/rmse,val/pr/time_mean_rmse,val/pr/time_std_mae,train/loss_epoch,test/tas/rmse,test/tas/time_mean_rmse,test/tas/time_std_mae,test/pr/rmse,test/pr/time_mean_rmse,test/pr/time_std_mae
0,0.6718504428863525,0.6718504428863525,0.8082412481307983,,,,,,,,,,,,,
1,0.5371233224868774,0.5371233224868774,0.65506911277771,11.860758781433105,10.375509262084961,3.0409743785858154,3.4934356212615967,2.0855085849761963,1.7828254699707031,0.8532572984695435,,,,,,
2,0.5673230290412903,0.5673230290412903,0.5752608776092529,12.150518417358398,8.975210189819336,4.827751159667969,3.468386650085449,2.0300111770629883,1.6504340171813965,0.5909087657928467,,,,,,
3,0.5553695559501648,0.5553695559501648,0.6228955984115601,9.764318466186523,8.482789039611816,1.952906847000122,3.4336323738098145,2.037797212600708,1.7948096990585327,0.5368824005126953,,,,,,
4,0.49511194229125977,0.49511194229125977,0.5670024156570435,11.268117904663086,9.322138786315918,2.5834128856658936,3.497988700866699,2.097882032394409,1.652307152748108,0.5241827964782715,,,,,,
5,0.4870770573616028,0.4870770573616028,0.5227879285812378,9.393498420715332,6.680924415588379,3.3986949920654297,3.392230749130249,1.8630261421203613,1.5414904356002808,0.49691158533096313,,,,,,
6,0.43657737970352173,0.43657737970352173,0.5154277682304382,7.572668075561523,5.035414218902588,2.980717897415161,3.338085174560547,1.8395894765853882,1.598091959953308,0.4830928444862366,,,,,,
7,0.49357348680496216,0.49357348680496216,0.48436278104782104,8.136458396911621,6.567777156829834,2.042664051055908,3.3086373805999756,1.8371317386627197,1.6408084630966187,0.474661260843277,,,,,,
8,0.47951361536979675,0.47951361536979675,0.4899728000164032,6.615847110748291,4.964147567749023,1.8407390117645264,3.2694318294525146,1.7507261037826538,1.5999736785888672,0.4664185643196106,,,,,,
9,0.44615498185157776,0.44615498185157776,0.47578513622283936,6.850771903991699,5.124014854431152,1.7838115692138672,3.295452833175659,1.7610441446304321,1.5542007684707642,0.4541283845901489,,,,,,
10,0.4400843381881714,0.4400843381881714,0.46456918120384216,6.38980770111084,4.438088893890381,1.79932701587677,3.26328182220459,1.6771875619888306,1.5033869743347168,0.4439210891723633,,,,,,
11,0.4488685727119446,0.4488685727119446,0.4488007724285126,6.295735836029053,4.397090435028076,1.6693899631500244,3.2257027626037598,1.6992347240447998,1.5484113693237305,0.4386366009712219,,,,,,
12,0.4110164940357208,0.4110164940357208,0.47627922892570496,6.098748683929443,4.4973554611206055,1.654197096824646,3.1782853603363037,1.6711500883102417,1.508368968963623,0.42211422324180603,,,,,,
13,0.4288691282272339,0.4288691282272339,0.4350125193595886,6.137551784515381,3.8115692138671875,1.7813234329223633,3.2560393810272217,1.5421041250228882,1.3550031185150146,0.416759729385376,,,,,,
14,0.37232735753059387,0.37232735753059387,0.4269682466983795,5.729647159576416,4.155068874359131,1.6757919788360596,3.137528419494629,1.627724528312683,1.5002881288528442,0.40907022356987,,,,,,
15,0.33743560314178467,0.33743560314178467,0.4077144265174866,5.559861660003662,3.8560869693756104,1.5969878435134888,3.115023374557495,1.3994196653366089,1.292860507965088,0.3958708941936493,,,,,,
16,0.4224075973033905,0.4224075973033905,0.41821205615997314,5.558311939239502,3.8377678394317627,1.418470025062561,3.01838755607605,1.4222337007522583,1.3428624868392944,0.3877785801887512,,,,,,
17,0.4121747314929962,0.4121747314929962,0.37179073691368103,5.4358744621276855,3.936509847640991,1.4662132263183594,3.0999834537506104,1.5679867267608643,1.330819010734558,0.3788498342037201,,,,,,
18,0.34401074051856995,0.34401074051856995,0.3743078410625458,5.0164971351623535,3.317922830581665,1.4418061971664429,2.9001998901367188,1.2095396518707275,1.3404910564422607,0.36513444781303406,,,,,,
19,0.3462657928466797,0.3462657928466797,0.37327173352241516,5.670803070068359,4.321528911590576,1.4277007579803467,2.8991289138793945,1.3123128414154053,1.3858884572982788,0.3519841134548187,,,,,,
test,,,,,,,,,,,292.4878234863281,292.41729736328125,5.50620698928833,3.157520294189453,2.855391502380371,1.177907109260559
