epoch,train/loss,train/loss_step,val/loss,val/tas/rmse,val/tas/time_mean_rmse,val/tas/time_std_mae,val/pr/rmse,val/pr/time_mean_rmse,val/pr/time_std_mae,train/loss_epoch,test/tas/rmse,test/tas/time_mean_rmse,test/tas/time_std_mae,test/pr/rmse,test/pr/time_mean_rmse,test/pr/time_std_mae
0,1.214146614074707,1.214146614074707,1.3501585721969604,,,,,,,,,,,,,
1,1.0901271104812622,1.0901271104812622,1.2189756631851196,15.390363693237305,14.331133842468262,2.271228313446045,3.7181155681610107,2.4510223865509033,1.7092151641845703,1.2788829803466797,,,,,,
2,1.0879052877426147,1.0879052877426147,1.1281801462173462,14.932160377502441,13.998427391052246,2.4251909255981445,3.6389048099517822,2.346956253051758,1.7548829317092896,1.194007396697998,,,,,,
3,0.9814202785491943,0.9814202785491943,1.0646578073501587,14.585769653320312,13.756546020507812,2.4819116592407227,3.5994019508361816,2.2982211112976074,1.8068040609359741,1.1248284578323364,,,,,,
4,0.9582111835479736,0.9582111835479736,1.0156804323196411,14.293375015258789,13.544431686401367,2.378037691116333,3.5803544521331787,2.2772276401519775,1.861543893814087,1.0675528049468994,,,,,,
5,0.9498403072357178,0.9498403072357178,0.9770835041999817,14.057347297668457,13.36799144744873,2.2208995819091797,3.569810390472412,2.26645565032959,1.916269302368164,1.0200175046920776,,,,,,
6,0.9089726805686951,0.9089726805686951,0.9461466670036316,13.874079704284668,13.224117279052734,2.0773468017578125,3.5621421337127686,2.2577474117279053,1.9686938524246216,0.9800368547439575,,,,,,
7,0.8691858053207397,0.8691858053207397,0.9205144047737122,13.708113670349121,13.077173233032227,1.9792637825012207,3.5558886528015137,2.2493326663970947,2.018057346343994,0.9464266896247864,,,,,,
8,0.901631236076355,0.901631236076355,0.8993722796440125,13.575748443603516,12.946361541748047,1.946528434753418,3.550337791442871,2.24045729637146,2.0633482933044434,0.9182547330856323,,,,,,
9,0.8573963046073914,0.8573963046073914,0.8819243311882019,13.469612121582031,12.825850486755371,1.95949125289917,3.5458922386169434,2.2321105003356934,2.103776693344116,0.8946571350097656,,,,,,
10,0.8420066237449646,0.8420066237449646,0.867702841758728,13.369112968444824,12.695734977722168,1.9978127479553223,3.5419371128082275,2.223611831665039,2.1231508255004883,0.8749938607215881,,,,,,
11,0.8308624029159546,0.8308624029159546,0.8555687665939331,13.259737014770508,12.542616844177246,2.062433958053589,3.5389840602874756,2.216046094894409,2.0955517292022705,0.8586124181747437,,,,,,
12,0.8277087807655334,0.8277087807655334,0.8458669185638428,13.19842529296875,12.428526878356934,2.1531379222869873,3.5366291999816895,2.2090156078338623,2.065202236175537,0.8449517488479614,,,,,,
13,0.8112495541572571,0.8112495541572571,0.8376695513725281,13.119733810424805,12.28670883178711,2.2638661861419678,3.534878730773926,2.202756643295288,2.0380654335021973,0.8336533308029175,,,,,,
14,0.816961407661438,0.816961407661438,0.8311986923217773,13.065168380737305,12.161348342895508,2.3881425857543945,3.533489942550659,2.1970062255859375,2.013833999633789,0.824295163154602,,,,,,
15,0.8025335073471069,0.8025335073471069,0.8257040977478027,12.985466003417969,12.003509521484375,2.5191493034362793,3.532348394393921,2.191776752471924,1.9929178953170776,0.8165508508682251,,,,,,
16,0.7815499305725098,0.7815499305725098,0.8214012384414673,12.93702220916748,11.872719764709473,2.657703399658203,3.531574010848999,2.1872642040252686,1.9745540618896484,0.8101729154586792,,,,,,
17,0.8041694164276123,0.8041694164276123,0.8177881836891174,12.868927955627441,11.718422889709473,2.7963361740112305,3.530863046646118,2.1832363605499268,1.9595638513565063,0.8048866391181946,,,,,,
18,0.8087646961212158,0.8087646961212158,0.8149083256721497,12.802896499633789,11.56108283996582,2.9390485286712646,3.530383586883545,2.179727077484131,1.946141242980957,0.8005411624908447,,,,,,
19,0.7782120108604431,0.7782120108604431,0.8125630617141724,12.75367259979248,11.422428131103516,3.075749397277832,3.5298924446105957,2.1765739917755127,1.935133695602417,0.7969719171524048,,,,,,
test,,,,,,,,,,,284.30487060546875,284.21759033203125,6.142507553100586,2.6826720237731934,2.669767141342163,0.2292274534702301
